год,тема ,описание полное 
2017,Разработка стратегии диверсификации производства ООО ХХХХ,"В работе рассматривается ООО XXXX - одно из машиностроительных предприятий города Екатеринбурга. История предприятия начинается с 1923 года.
ООО XXXX на сегодняшний день является одним из ведущих машиностроительных предприятий в отрасли. Предприятие специализируется на производстве бурового и геологоразведочного оборудования, которое используется для бурения геодезических и структурно-поисковых скважин на нефть и газ, разведки месторождения твердых полезных ископаемых, инженерно-геологических изысканий, в том числе для гражданского и промышленного строительства. Оборудование изготавливается на колесном и гусеничном шасси, глубиной бурения до 350 м.
Существующая  система менеджмента качества сертифицирована по международным стандартам ISO 9001.
В настоящее время на предприятии наблюдается определённый спад связанный с производством и реализацией основной продукции, который от части связан с общими тенденциями в машиностроительной отрасли. 
Для предприятия актуальными остаются вопросы связанные со снижением издержек и диверсификация производства. Поэтому возникает необходимость расширять перечень предлагаемых продуктов на существующих мощностях.
В проектном разделе будет разработан план по производству буровой установки глубиной бурения до 700 м к сентябрю 2018 г. стоимостью 10 млн.руб. за счет собственных средств и выведение проекта на самоокупаемость.
"
2017,СТРАТЕГИЯ ВНЕДРЕНИЯ ПРИМЕНЕНИЯ УНИФИЦИРОВАННЫХ УЗЛОВ И БЛОКОВ ПРИ СОЗДАНИИ ИЗДЕЛИЙ СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯ АО «ПО ХХХХ,"В данной аттестационной работе представлен проект «Внедрения стратегии применения унифицированных узлов и блоков для оптико-электронных систем в продукции АО ХХХХ специального назначения».
ОАО XXXX, 
г. Екатеринбург, является одним из крупнейших предприятий оборонно-промышленного комплекса России, ведущим историю с 1838 года. Сегодня XXXX – современное наукоемкое производство, лидер отрасли оптического приборостроения, обладающий широкими возможностями создания изделий от разработки до их производства. Специализация предприятия – выпуск гиростабилизированных оптико-электронных систем новейших поколений в интересах Министерства обороны и силовых ведомств РФ. 
Одна из стратегий развития предприятия – стратегия унификации применяемых в изделиях спецтехники узлов и блоков. Основной идеей является сокращение временных и материальных издержек в процессе разработки изделий спецтехники, за счет формирования и реализации требований к универсальным компонентам изделий спецтехники. Реализация данной стратегии связана с необходимостью сокращения сроков разработки, повышением производительности и снижением себестоимости продукции.
В результате проведенной диверсификации продукции спецтехники АО «ПО XXXX вышел на рынки спец продукции для комплексов вертолетного, самолетного, корабельного и сухопутного направлений, объем выпуска исчисляется сотнями изделий в год, при этом в разработке находится не менее 8-10 изделий одновременно.
Позиция автора проекта, основанная на результатах проведения разработки оптико-электронных систем и анализе их составных частей, заключается в необходимости сокращения сроков разработки спец продукции АО «ПО XXXX, снижения себестоимости разработки на основе оптимизации цикла разработки.
Автор проекта: заместитель генерального директора по НИОКР. В полномочия входят проектирование и разработка конструкторской документации на оптико-электронные системы в соответствии с требованиями Заказчика, проведение наземных и лётных испытаний опытных образцов, организация серийного производства, формирование технической политики предприятия по организации и сопровождению парка выпущенных изделий в эксплуатирующих организациях, а также направлений развития предприятия в краткосрочном и долгосрочном периодах.
Одним из вариантов решения данной проблемы является разработка проекта оптимизации организационной структуры службы НИОКР и цикла разработки. Цель проекта – оптимизировать цикл создания ОЭС до 30.12.2017 года, исключить разработку схожих по функциональному назначению узлов и блоков. Проект планируется выполнять силами специалистов предприятия. Общее руководство проектом и взаимодействие с заказчиком возложено на менеджера проекта. В результате реализации проекта снизится себестоимость разработки продукции приблизительно на 30% с получением годового экономического эффекта в размере около 170 млн. руб.
В аналитической части проекта представлен анализ существующей ситуации внешней и внутренней среды предприятия (PEST-анализ, анализ конкурентной среды по методике пяти сил Портера, SNW-анализ, Рыба Исикавы). С помощью SWOT-анализа выбрана стратегия развития предприятия, которая заключается в оптимизации организационной структуры службы НИОКР и цикла разработки путём внедрения анализа требований к составным частям изделий спецтехники с применением автоматизированных систем управления ресурсами предприятия (IFS) и поддержки жизненного цикла изделия (TCE), которые позволят осуществить распределение разработки составных частей оптимальным образом между имеющимся инженерно техническим персоналом. 
В практической части аттестационной работы раскрыто содержание и приведён устав проекта. С помощью диаграммы Ганта представлено расписание проекта, выполнен анализ заинтересованных сторон и рассмотрены возможные риски проекта. В заключении дана оценка эффективности проекта. 
"
2017,Стратегия развития ООО XXXX,Стратегия развития ООО XXXX
2017,Стратегия развития ГБПОУ СО СОПК в соответствии с региональным запросом на подготовку педагогических кадров,"К аттестационной работе на тему: XXXX
Государственное бюджетное профессиональное образовательное учреждение Свердловской области ХХХХ  основан в 1922 г., оказывает услуги по реализации программ среднего профессионального образования педагогической направленности для выпускников 9 и 11 классов, профессиональной переподготовки, программ повышения квалификации для педагогов и руководителей образовательных учреждений Свердловской области. Численность персонала - 142, обучающихся – 1649 (на 1 апреля 2017 года). Колледж финансируется за счет средств бюджета Свердловской области.
Автор проекта - заместитель директора по научно-методической работе государственного бюджетного профессионального образовательного учреждения Свердловской области ХХХХ, кандидат педагогических наук. Должностные обязанности: создание научно-методических и учебно-исследовательских условий, обеспечивающих функционирование колледжа.
Основная проблема, решаемая в рамках работы: выбор стратегии развития колледжа в условиях усиливающейся конкурентной борьбы на рынке профессиональных образовательных услуг. 
В качестве способа решения проблемы предлагается организация профессиональной подготовка педагогических кадров в соответствии с региональным запросом рынка труда, позволяющая усилить привлекательность Колледжа для потенциальных потребителей.
Цель проекта: обеспечить к 2020 г. комплекс условий по подготовке педагогических кадров для образовательных организаций дошкольного, начального общего и дополнительного образования согласно функциональной карте дополнительных общих и профессиональных компетенций, разработанной на основе запросов работодателей.  
В первой части представлены инструменты стратегического анализа и планирования. Во второй части проанализирована внешняя и внутренняя среда Колледжа. На основании проведенного анализа выбрана стратегия развития государственного бюджетного профессионального образовательного учреждения Свердловской области ХХХХ и разработан проект, включающий 3 основных этапа и соответствующие мероприятия. Проект реализуют сотрудники Колледжа при участии Совета работодателей.  Дата начала реализации проекта 02.01.2017 г., срок завершения проекта 01.08.2020 г.
Изменения в профессиональной подготовке педагогических кадров: создание Совета работодателей при Многофункциональном центре прикладных квалификаций; разработка функциональной карты с перечнем дополнительных общих и профессиональных компетенций; разработанная вариативная часть основной профессиональной образовательной программы согласно требованиям работодателей; перечень баз практик и стажировочных площадок в рамках реализации практико-ориентированной (дуальной) профессиональной подготовки студентов; целевые программы повышения квалификации педагогов Свердловской области; призовые места в профессиональных конкурсах ХХХХ WorldSkills Russia; разработанная программа государственной итоговой аттестации в виде демонстрационного экзамена в формате WorldSkills Russia; выпускные квалификационные работы, написанные по заказу работодателей, обеспечат конкурентоспособность выпускников колледжа на региональном рынке труда и  приток абитуриентов, а значит стабильность получения бюджетного финансирования в прежнем размере и увеличение объема внебюджетного финансирования. 
"
2017,Стратегия вывода на рынок нового продукта ХХХХ,"ОАО ХХХХ основано в 1964 г. 	Компания относится к предприятиям химической промышленности, занимается производством и продажей технических газов, газового оборудования, а также реализацией инсталляционных проектов на территории клиента ХХХХ.   	В компании работает  146 человек.  В организации выстроена матричная  организационная структура. 
	Автор проекта – Виктория Александровна, руководитель отдела закупок.
	Компания занимает одну из лидирующих позиций на рынке химических газов в УрФО. В связи с непростыми экономическими условиями в стране, а также в связи с приходом на российский рынок крупных игроков, объемы продаж компании замедлили рост, предприятие находится в состоянии стагнации. 
Для решения вопроса сохранения компанией ОАО ХХХХ лидирующей позиции, а также увеличения прибыли  были последовательно проведены анализ внешней и внутренней среды,  анализ слабых и сильных сторон компании, сделан SWOT-анализ, SWOT-8. В результате были определены проекты, из числа которых путем ранжирования был выбран проект, соответствующий целям компании, - вывод на рынок нового продукта ХХХХ. 
Цель проекта – вывод на рынок нового продукта ХХХХ к 01.01.2019 году, с периодом окупаемости не более 36 месяцев. Ожидаемые результаты: срок окупаемости – 29 месяцев. Основные  ресурсы: финансовые (собственные денежные средства). Реализация проекта запланирована на период 2018-2020 годов.
	Запуск нового продукта позволит расширить продуктовый портфель предприятия и вывести на рынок конкурентоспособный кислородный концентратор российского производства.  
"
2017,Стратегия роста реализации продукции АО ХХХХ на основе внедрения собственной генерации электроэнергии,"АО ХХХХ входит в состав крупнейшего в Росии холдинга по производству цемента ОАО ХХХХ. ХХХХ – международный промышленный Холдинг, лидер отечественного производства цемента, включен в перечень системообразующих предприятий России, утвержденный решением Правительства Российской Федерации от 5 февраля 2015 года. ХХХХ входит в пятерку крупнейших мировых цементных компаний, объединяет 19 цементных заводов в России, Украине и Узбекистане, а также заводы по производству бетона. Производственная мощность предприятий Холдинга составляет 59 млн тонн цемента и более 11 млн куб. м бетона. 
Высокое качество продукции и уровень клиентского сервиса позволяют стабильно удерживать холдингу долю рынка цементного производства не менее 35%.
Задача предприятия: восстановить уровень продаж продукции на уровне проектной мощности предприятия, повысить прибыльность производства продукции. 
В настоящее время автор проекта занимает должность генерального директора, в обязанности которого входит управление предприятием и реализация инвестиционных  проектов в области капитального строительства. 
При выборе и дальнейшей реализации стратегии развития предприятия работы применены такие инструменты стратегического планирования, как PEST анализ, 5 сил Портера, построение карты проблемного поля, SWOT – анализ и SWOT-8. 
Реализация стратегии оптимизации и развития на основе внедрения собственной генерации позволит загрузить производственные мощности до проектных объемов 1 100 000 тонн цемента в год и сократить затраты на производство продукции. Сроки реализации проекта: 2014-2017 гг. 
"
2017,"""Повышение конкурентоспособности ОАО ХХХХ за счет внедрения нового оборудования магнитопорошкового контроля.""","ОАО Уральский трубный завод (ОАО ХХХХ) расположен в городе Первоуральске Свердловской области. Год создания: 1991. Предприятие входит в пятерку крупнейших трубных компаний России и является сертифицированным поставщиком трубной продукции для компаний ОАО «АК XXXX, «ОАО XXXX. Система менеджмента качества сертифицирована по ISO 9001:2008 и API Q1.
ОАО Уральский трубный завод делает ставку на качественные изменения в трубной и строительной отрасли и внедрение новых стандартов: инновационное развитие производственных мощностей, постоянную модернизацию производства.
В составе компании три завода:
 1) завод по изготовлению электросварных труб для строительной и нефтегазовой отрасли - круглого, квадратного и прямоугольного сечения, а также обсадных трубы и муфты к ним.
2)  завод по изготовлению продукции для строительной отрасли  – фасонного проката, металлоконструкций любой сложности, быстровозводимых зданий из легких металлических конструкций, стеновых и кровельные панелей, стальных окон, дверей и ворот.
3) завод по изготовлению нерудных материалов  для дорожных строительных организаций - щебня из природного камня и плотных пород различных фракций и отходов обогащения 
Общая численность сотрудников составляет более 2000 человек, тип организационной структуры предприятия – линейно-функциональная.
Автор проекта – Макаров Александр Владимирович. Год рождения 1982.  Общий стаж работы на предприятии 8 лет, опыт работы на управленческой должности 4 года. Занимаемая должность: мастер участка неразрушающего контроля производства электросварных труб. В подчинении 22 электромонтера.  Основные обязанности: неразрушающий контроль качества продукции, ремонт и обслуживание оборудования участка.
На фоне экономического кризиса, давления США и западных стран на предприятия нефтегазовой отрасли, инвестиции в крупные инфраструктурные проекты по освоению нефтегазовых месторождений уменьшаются, что приводит к падению рынка труб.
В отрасли возникли избыточные мощности по производству труб. Появилась необходимость повышения конкурентоспособности предприятия. Ключевыми моментами при выборе потребителями поставщика трубной продукции кроме качества и цены являются: специальные требования к свойствам продукции. Крупные потребители трубной продукции работают только с одобренными поставщиками. Они разрабатывают свои внутренние требованиям и стандарты к технологии и качеству продукции, которые порой гораздо шире и жестче требований, предусмотренных стандартами.
В данной работе была проанализирована внешняя среда и внутренние проблемы предприятия, сдерживающие его развитие. Анализ показал, что для повышения конкурентоспособности предприятия необходимо ввести дополнительную технологическую операцию производства трубы – магнитопорошковый контроль фаски труб, что является необходимым требованием одного из крупнейших покупателей трубной продукции нефтегазовой отрасли.
Магнитопорошковый контроль фаски труб позволит повысить качество продукции, вывести на рынок новый продукт, что  повысит конкурентоспособность предприятия.
Данная работа оформлена в виде бизнес-плана по выводу нового продукта в результате внедрения оборудования магнитопорошкового контроля.
Реализация работы позволит:
1) повысить конкурентоспособность предприятия
2) выпускать продукцию соответствующую требованиям крупных заказчиков
3) повысить качество продукции
4) выпустить новый вид продукции 
Эффекты для региона:
1)	создание новых рабочих мест
2)	увеличение налоговых отчислений
Эффекты для отрасли:
1)	расширение сортамента производимой продукции
2)	расширение и увеличение рынка сбыта продукции
3)	общее повышения качества продукции
"
2017,СТРАТЕГИЯ СНИЖЕНИЯ ИЗДЕРЖЕК СВЕРДЛОВСКОГО ФИЛИАЛА ОАО ХХХХ ПУТЕМ ОПТИМИЗАЦИИ БИЗНЕС-ПРОЦЕССОВ ПРОДАЖИ ЭНЕРГОРЕСУРСОВ ЮРИДИЧЕСКИМ ЛИЦАМ,"ОАО ХХХХ – объединенная энергосбытовая компания Группы ХХХХ. В филиальную сеть ЭнергосбыТ Плюс входят 15 региональных филиалов на территории Российской Федерации. Сегодня ОАО ХХХХ — динамично развивающаяся компания на рынке продажи комплекса жилищно-коммунальных и энергосервисных услуг.
Деятельность ОАО ХХХХ направлена на обеспечение качественного и бесперебойного тепло- и электроснабжения потребителей, осуществление контроля над эффективностью использования энергетических ресурсов, предоставление новых сервисов и повышение уровня клиентского обслуживания, а также на развитие энергосбережения и энергоэффективности среди потребителей тепловой и электрической энергии.
Свердловский филиал ОАО ХХХХ – является крупнейшей энергоснабжающей организацией и имеет статус Гарантирующего поставщика на территории Свердловской области. 
Клиентская база Свердловского филиала насчитывает: 
а) 41 628 обслуживаемых предприятий и организаций (в т.ч. 8 320 по договорам теплоснабжения и горячего водоснабжения)
б) 1 004 528 лицевых счетов бытовых абонентов. 
Филиал имеет 58 офисов продаж в муниципальных образованиях Свердловской области. 
Полезный отпуск электроэнергии составляет более 13 600 млн кВтч в год.
Автор проекта, Маслаков Константин Васильевич – заместитель руководителя управления продаж Свердловского филиала ОАО ХХХХ. Основное направление – ведение сбытовой деятельности в сфере электроснабжения, теплоснабжения и горячего водоснабжения на территории Свердловской области.
Ключевой задачей проекта является снижение издержек и повышение эффективности работы компании за счет оптимизации бизнес-процессов в части продажи энергоресурсов юридическим лицам.
"
2017,Стратегия снижения издержек предприятия ОАО  ХХХХ на основе организации производства по переработки отвалов вскрышных пород.,"Предприятие является одним из крупнейших поставщиков строительных материалов для дорожных строительных организаций. 
География поставок продукции охватывает 28 регионов РФ.
Первоначально основной продукцией предприятия был железорудный концентрат, содержащий пятиокись ванадия. Щебень выпускался как отходы обогащения. В связи с резким спадом промышленного производства, начиная с 1992г, спрос на концентрат упал. Встал вопрос о дальнейшей работе предприятия. 
Коллективом рудоуправления была разработана программа развития в которой уделялось внимание комплексному использованию месторождения, где кроме запасов сырой руды имелось сырье для выпуска качественного щебня.
В 1996 году Территориальной комиссией по запасам полезных ископаемых утверждены запасы скальных вмещающих пород в качестве сырья для получения щебня. Была произведена реконструкция существующих фабрик, что позволило наряду с увеличением концентрата из сырой руды выпускать фракционный щебень, обладающий требованиями ГОСТа.
В настоящее время выпускается следующая продукция:
1) концентрат железорудный фр. 0-50 мм, используется в металлургическом производстве 
2) щебень для строительных работ: ГОСТ 8267-93, фр. 3-10, 5-20, 20-40, 
40-70мм; щебень узких фракций улучшенной формы зерна (кубовидный):
5-10, 10-15, 15-20, 5-20, 5-15,10-20мм; щебень фр. 60-150мм – по ТУ
3) смеси щебеночно-песчаные для покрытий и оснований автомобильных дорог и аэродромов: ГОСТ 25607-2009, С-8 (0-5мм), С-7 (0-10мм)
4) материалы строительные нерудные из отсевов дробления плотных горных пород при производстве щебня, ГОСТ 31424-2010
5) противогололедный материал - песок 2-5мм
6) бетоны различных марок, раствор
Разработка месторождения ведется открытым способом. В качестве погрузочного оборудования используются экскаваторы ЭКГ-5А, а также фронтальные погрузчики HYUNDAI. Вывозка горной массы из карьера осуществляется железнодорожным транспортом – электровозами EL-21 и думпкарами 2ВС-105. Вскрышные породы вывозятся в отвал, а сырая руда и скальная горная масса поступает на две дробильно-обогатительные фабрики.
В настоящее время численность предприятия составляет 584 человека.
Структура предприятия – линейно-функциональная.
Автор проекта – мастер ремонтно механического участка Меньшиков Игорь Леонидович.
Кризис в строительном бизнесе, нестабильный спрос, высокие текущие расходы связанные с производством нерудных строительных материалов (производство нерудных материалов достаточно метало- и энергоемкое), рост энерго- и железнодорожных тарифов оказало  негативное влияние на отрасль производства нерудных строительных материалов. На сегодняшний день конкуренция на рынке нерудных строительных материалов настолько высока, что предложение значительно превышает спрос и единственное чем можно удержать потребителя – это цена продукции. В данной ситуации компании особенно актуально минимизировать себестоимость продукции, для формирования конкурентоспособных цен. 
В настоящее время предприятие столкнулось с резким падением спроса на свою продукцию в связи с экономической ситуацией в стране. В результате чего объем продаж снизился с 3млн тонн готовой продукции до 2.3млн тонн, что привело к снижению прибыли  предприятия.
В ходе выполнения работы были проанализированы проблемы предприятия, которые сдерживают его развитие. Решение этих проблем оформлено в виде бизнес-плана по снижению издержек и выводу на рынок нового продукта.
Реализация данного проекта актуальна не только для самого предприятия, но и для Свердловской области за счет создания современных и технологичных производств
"
2017,Проект по созданию бесплатной электронной площадки с интегрированной логистикой для развития предприятий розничной торговли в рамках стратегии стимулирования импортозамещения и развития внутренних перевозок по территории РФ и ЕАЭС. ,"В данной аттестационной работе рассматривается Общество с ограниченной ответственностью Логистическая Компания XXXX. 
Основная услуга, которую оказывает ООО Логистическая Компания XXXX - экспедиторская услуга по сборной грузоперевозке. В качестве дополнительных услуг оказывается, ответственное хранение грузов, услуги по упаковке грузов, услуги по проведению погрузочно-разгрузочных работ. Дополнительно реализованы ряд проектов для интернет-магазинов -  перевозки груза с наложенным платежом, а так-же собственный интернет магазин по продаже товаров для дома KIT.HOME со встроенной логистикой.  Данные услуги и проекты являются востребованными в условиях рыночной экономики как крупными, градообразующими предприятиями, так и средним и малым бизнесом, так и физическим лицам. 
Однако в условия высокой конкуренции, когда компания вышла в лидеры среди перевозчиков сборных грузов на территории евро-азиатского союза и работает в одном ряду с крупнейшими игроками рынка, необходимо укрепить и нарастить конкурентные преимущества.
Отрасль по перевозке сборных грузов в значительно мере на стадии стагнации, период активного роста закончился. Экономическая нестабильность, инфляция, снижение покупательской способности, усовершенствование IT-технологий, все эти факторы способствуют развитию интернет торговли. Многие крупные клиенты транспортных компании переходят на электронные площадки или используют их как дополнительные сервисов для своих клиентов. Число заказов у ведущих интернет магазинов возрастает с  следовательно, интернет магазины выдвигают определенные требования к логистике: качественная доставка день в день,  онлайн отслеживания заказа, IP-интеграция, оплата при получении, комплексный сервис по доставке  товаров, расширении географии продаж.  В свою очередь ХХХХ имеют иную географию покрытия чем курьерские компании. Налажены логистические схемы для перевозки больших объемов товаров в отдаленные районы.  Наличие складских мощностей для организации фулфилмента. Наличие ресурсов для оптимизации процессов обработки грузов. Все это позволяет удовлетворить крупных игроков в интернет торговли. 
Однако была выявлена ниша, среди представителей малого и среднего бизнеса, ремесленников, которые зачастую не имеют своей электронной  площадки и соответственно не могут расширить географию продаж. 
Данный клиенты позволят увеличит грузооборот компании, и расширить перечень услуг компании, при рациональном подходе к ресурсам компании, наборе технических возможностей и своевременных привилегированных предложений для клиента, можно создать проект, который будет монопольным и дополнительно укрепить позиции компании.  
В связи с этим, руководством компании было принято решение разработать портфель проектов для повышения конкурентоспособности, опираясь на возможности и ресурсы компании.
 Основные задачи, которые были решены при выполнении выпускной аттестационной работы, следующие:
1)	изучить текущее состояние компании, в основной отрасли 
2)	разработать портфель проектов в рамках выбранной стратегии
3)	разработать план реализации проекта
"
