Название,Описание проекта,Результат/Цель 
Игровая графика,,"Создание игровой графики (в заданной стилистике: casual, flat, hyper casual; на основе определенных мобильных игр) для уже готовых/разрабатываемых образовательных игр "
Игрофикация в образовании,,"Изучение мировых достижений в сфере игрофикации образовательных процессов и геймдизайна с целью создания актуальных методик для университета Аналитический отчет, методические рекомендации, программные продукты (приложение или веб-сервис) для подтверждения/демонстрации выдвинутых гипотез"
Платформа образовательных игр,,Разработка платформы-агрегатора образовательных игр 
Разработка образовательных игр,,Создание образовательной игры (игр) 
Разработка Unity assets,,Создание набора модулей под различные игровые задачи/механики; реализация прототипов 
Порождение географических карт по графу с помощью состязательных нейронных сетей,," Скрипт, создающий реалистичные карты никогда не существовавшей местности по конфигурационному графу."
Образовательная игра «Экспедиция в Арктику»,,"Разработка программной реализации командной образовательной игры по теории вероятностей и освоению Арктики. Игровое мобильное приложение или веб-сервис, воплощающие образовательные цели создания игры."
Иерархические нейронные сети и онтологии,,"Изучение структуры и математики и разработка алгоритмов ее представления в рамах иерархической нейросетевой модели Веб-сервис, воплощающий интерактивную модель математического знания. Или статья в научном журнале."
Программная реализация онтологии математики,,"Исследование структуры математического знания и создание программных решений для его анализа, синтеза образовательных подходов и прикладной навигации. Веб-сервис осуществляющий агрегацию математических материалов и интеллектуальный поиск по полученному графу знаний"
Семантический анализ отзывов на онлайн-курсы,,Алгоритмическое изучение отзывов на онлайн-курсы с целью структуризации и маркировки самих курсов. 
Система для создания и совместного редактирования больших графов,,"Разработка веб-сервиса или кроссплатформенного приложения, позволяющего посредством графического интерфейса создавать и редактировать в параллельном режиме графы с большим (более 100 тыс.) вершин и плотной сеткой разнотипных связей между ними. "
Чат-бот для экономических игр,,Разработка чат-бота для игрофикации экономического образования Чат-бот для одного или нескольких мессенджеров или социальных сетей
Разработка программных средств для исследования эвристических алгоритмов решения таблиц покрытия,"Необходимо реализовать приложение, позволяющее:
 задавать параметры таблиц покрытия для псевдослучайного генератора таблиц покрытия;
 управлять процессом сравнения приближенных алгоритмов на потоке задач;
 управлять архивом.
 Необходимо спроектировать базу данных и написать и отладить набор хранимых процедур, которые позволяют:
 по заданным параметрам таблиц покрытия псевдослучайным образом формировать в базе данных конкретные экземпляры;
 находить решение таблиц покрытия приближенными алгоритмами;
 запоминать и хранить информацию по сравнению приближенных алгоритмов.","Создание программных средств псевдослучайной генерации таблиц покрытий, реализация приближенных алгоритмов решения таблиц покрытия большого размера и сравнения их эффективности на потоке задач. Проверить целесообразность реализации комбинаторных оптимизационных задач средствами современных СУБД (MS SQL, Postgress) . Критерии оценки:
 Простота реализации;
 Размерность решаемых задач;
 Быстродействие.
 Сравнить приближенные алгоритмы решения таблиц покрытия на потоке задач (выбрать и реализовать известные эвристики и предложить собственные)."
Имитационная модель судового трафика в Керченском проливе,"Исторические архивные данные будут предоставлены в виде базы данных под управлением СУБД MS SQL Server. Программные средства для разработки имитационной модели могут быть любыми: C#, Pyton, среда Unity (возможна комбинация инструментальных средств). Результаты моделирования должны быть помещены в базу данных под управлением СУБД MS SQL Server в формате, аналогичным формату исторических данных.","Разработка и реализация алгоритмов, позволяющих имитировать движение судов в районе Керченского пролива на основе исторических данных Программное обеспечение, позволяющее имитировать движение судов в районе Керченского пролива"
Органайзер,Ещё не определились,Разработка мобильного приложения для планирования задач. Планировщик задач
Роботизированный стенд для тестирования позвоночных эндопротезов,"Проблема: исследуемый эндопротез должен быть нагружен при помощи свойственных человеческому телу движений с определенными усилиями.
 Концепт: стенд представляет собой три позвонка, средний из которых — протез. Нижний позвонок зафиксирован, а верхний приводится в движение с помощью системы пневматических цилиндров. Для определения усилия применяются датчики давления. Управление осуществляется при помощи микроконтроллера и следующего за ним ПК, посредством АРМ оператора стенда.","Разработать автоматизированный стенд для нагрузочного тестирования протезов позвонков, изготовленных при помощи аддитивных технологий. Сам стенд и данные серии испытаний, проведенные с помощью него"
Мобильный робот для исследований в области групповой робототехники - SwarmBot,"Групповая робототехника решает задачи применения принципов роевого интеллекта к мобильным роботам (боидам). Для проверки модельного поведения группы необходимо наличие достаточного количества реальных «боидов», которые должны быть максимально простыми в изготовлении и обслуживании. Каждый боид должен иметь бортовой контроллер, функцию детектирования препятствий и функцию общения с ближайшими боидами.","Спроектировать и реализовать опытный образец мобильного робота для проведения натурных экспериментов в области групповой робототехники Автономный мобильный робот с функциями: передачи сообщения ближайшим соседям, детектирования препятствий, автоматической подзарядки."
Компьютерная 2D игра на платформе SDL/Unity,"Все реальные, окружающие нас микроорганизмы находятся в постоянном взаимодействии друг с другом. При этом, их реакция на внешние раздражители и вообще вся их жизнь обусловлена составом их ДНК.
 Базовая концепция игры — конструирование ДНК микробов из различных генов, отвечающих за защитные реакции микроба, за его устойчивость к вредным факторам окружающей среды, энергетический обмен и прочее. Соревнование колонии микробов с колониями других игроков за господство в питательной среде.",Спроектировать и реализовать компьютерную игру с элементами механик коллективного поведения Прототип компьютерной игры — приложение для ОС Windows/Linux.
Компьютерная 2D игра на свободную тему,Разработка игры на свободную тему. Для ускорения процесса разработки рекомендуется взять за основу pixelart концепцию и казуальную направленность игры.,"Спроектировать и реализовать компьютерную игру на свободную тему, с использование open-source платформ Прототип компьютерной игры — приложение для ОС Windows/Linux."
Разработка системы автоматизированного тестирования сетевых модулей LoRaWAN,"Проект можно условно разделить на 3 части:
1)	Back-end часть: взаимодействие с сервером сети - loraserver API для реализации добавления устройства, протокол MQTT для обмена сообщениями с модулями. Технологии для реализации – java-script, node.js, node-red, python, php и другие.
2)	Front-end часть: пользовательский интерфейс – запуск и настройка тестов, вывод результатов (таблицы, графики).
3)	Работа с данными – проектирование базы данных, преобразование данных в формат Base64, работа с байтовыми операциями.
","Проект нацелен на создание инструмента для внутреннего тестирования встроенного ПО (прошивки) модулей LoRaWAN, применяемых в продукции компании НПО «Карат».  Результатом работы является разработанная программа или веб-сервис, поддерживающий следующие функциональные возможности:
•	регистрация LoRa-устройств на сервере сети;
•	настройка тестов;
•	проведение тестов;
•	визуальное представление результатов тестирования;
•	выгрузка результатов в файл.
"
Разработка мобильного приложения для считывания архивных данных теплосчетчиков и вычислителей Карат,Получение данных с прибора производится через оптический или USB интерфейс с помощью оптосчитывающей головки с интерфейсом USB или USB-кабеля соответственно. Необходимо разработать алгоритм опроса приборов. Приложение должно иметь простой пользовательский интерфейс. Сохранение данных из прибора происходит автоматически в выбранных форматах файла.,"Целью данного проекта является создание мобильного приложения для
считывания данных с теплосчетчиков Карат-Компакт 2-213/223 и вычислителей Карат 306/307/308. Приложение должно считывать архивные данные с приборов и выгружать их в файл формата csv, txt и xls.
 Результатом работы над данным проектом является мобильное приложение, обладающее следующим функционалом:
•	выбор прибора и настройка параметров линии связи (скорость обмена, адрес прибора);
•	настройка глубины опроса и типов считываемых архивов (часовые, суточные, месячные);
•	опрос прибора;
•	сохранение считанных данных в файл выбранного формата.
"
Применение нейронных сетей для прогнозирования работы узлов технологической сети,"При наблюдении за неизвестным объектом, работа которого подчинена некоторому детерминированному алгоритму, фиксируются входные и выходные сигналы, формирующие соответствующие алфавиты. Требуется понять алгоритм работы этого устройства, то есть построить нейронную сеть, которая на основе входных сигналов сможет правильно предсказывать выходные.
 Предпочтительными языками программирования являются Java или Python. Должна быть реализована возможность анализа получаемых результатов, например, в форме графиков.","Получить программную реализацию нейронной сети, способной предсказывать выходные сигналы узла технологической сети на основе входных сигналов Программа, обучающая нейронную сеть на основе тестовых данных, для дальнейшего предсказания работы узла технологической сети"
Сравнение эффективности эволюционных алгоритмов на основе целевого подхода и подхода novelty search на примере синтеза конечных автоматов,"При наблюдении за неизвестным объектом, который можно представить конечным автоматом, фиксируются входные и выходные сигналы. Требуется понять алгоритм его работы, то есть построить автомат, который на основе входных сигналов сможет правильно предсказывать выходные. Для решения поставленной задачи может быть использовано несколько подходов, в частности – генетические алгоритмы. Проблемой всех эволюционных алгоритмов является проблема преодоления локальных оптимумов. Предлагается заменить классический ориентированный на цель подход методом поиска новизны (novelty search).
 Для внедрения этого подхода необходимо ввести метрику новизны для конечного автомата и определить способ расчета поведенческого расстояния между автоматами. Программная реализация должна позволять проводить обучение системы на основе тестовой выборки и выводить предполагаемые решения. Предпочтительными языками программирования являются Java или Python. Должна быть реализована возможность анализа получаемых результатов, желательно в форме графиков.","Изучение подхода novelty search и его применение при синтезе конечных автоматов с использованием генетических алгоритмов, сравнение эффективности и полученных результатов с результатами классического генетического алгоритма Программа, генерирующая автомат на основании заданных входных и выходных сигналов с применением генетических алгоритмов и подхода novelty search."
ИИ для дополненной реальности.,"На данный момент не существует, по крайней мере в открытом доступе, технологии осуществляющей в реальном времени распознавание поверхности/фасада здания/строения/крупного объекта и работающая в реальном времени через мобильное устройство. Наличие этой технологии позволит сделать качественный рывок в приложениях дополненной реальности.","Программная библиотека/приложение обеспечивающее возможность в реальном времени на мобильном устройстве распознавать фасад заданного здания/строения, определять его положение и ориентацию относительно камеры смартфона и выполнять вывод произвольной графики(текст/изображение) поверх него. Предполагается что в приложение загружается интересующая нас фотография определенного здания То есть общая идея такова: запускается приложение на телефоне, камера телефона направляется на историческое здание и по нему выводится вся интересующая информация. Экспериментальное приложение. В базовом варианте приложение работает на ПК. В приложение загружается изображение объекта, например фасад исторического здания. После этого включается камера, камеру наводят на фасад здания. Картинка с камеры, или записанное видео здесь не принципиально. Приложение определяет ориентацию объекта относительно камеры, то есть проще говоря строятся виртуальная плоскость поверх найденного объекта на которой визуализируется текст и изображение. Минимальная частота кадров - не ниже 10-25 кадров в секунду."
Обработка данных шумометрии,"В ходе эксплуатация трубопроводы высокого давления подвержены деградационным процессам. Своевременное выявление дефектов одна из актуальных задач эксплуатации подобных объектов.
 Необходимо разработать алгоритм выявления дефектов опираясь на размеченный датасет данных шумометрии (массив микрофонов). Для разработки алгоритма допускается использовать Python или R. Предусмотреть перенос алгоритма на язык C, с учётом ограниченных ресурсов встраиваемых систем (килобайты оперативной и постоянной памяти). Наиболее интересными являются статические методы анализа, однако, допускается использовать нейронные сети (библиотека TinyML работает на микроконтроллерах).",Разработать алгоритм выявления дефектов по данным шумометрии. Демонстрация работы алгоритма на не размеченном датасете. Портирование алгоритма на язык C.
https://маркбук.рф,"Создание многофункционального образовательного ресурса с возможностью на нем ставит траекторию обучения, подбирать курсы, преподавать, составлять задания для онлайн-тестирований, проводить олимпиады. Более подробно в ниже прикреплённом бизнес-плане","Создание многофункционального образовательного ресурса с возможностью на нем ставит траекторию обучения, подбирать курсы, преподавать, составлять задания для онлайн-тестирований, проводить олимпиады. Более подробно в ниже прикреплённом бизнес-плане Веб-приложение, отображаемое корректно как на мобильных устр., так и на ПК."
Адаптер allure-framework для поддержки pytest-bdd,"Ознакомиться с проектом  и технологиями можно по ссылкам:
 https://github.com/pytest-dev/pytest-bdd - репозиторий pytest-bdd
 https://github.com/allure-framework/allure-python/tree/master/allure-pytest-bdd – репозиторий Allure-адаптера для pytest-bdd","Научиться собирать Allure-отчет для библиотеки pytest-bdd. Уже есть адаптер для обычного pytest, но pytest-bdd требует немного другого подхода. Адаптер, позволяющий собирать Allure-отчет для pytest-bdd"
Бот помогающий учёту рабочего времени,Язык – Python,"Научиться собирать информацию из разных источников (почта, календарь, github, gitlab, система баг-трекинга, система фиксации трудозатрат и других), помочь её систематизировать и внести в систему фиксации трудозатрат максимально полно и достоверно. Бот для Телеграм/тамтам/слака помогающий понимать на что ушло твое время"
Анализ результатов автотестов,Проанализировать результаты большого количества автотестов за год и сделать по ним различные выводы.,"Проанализировать результаты большого количества автотестов за год и сделать по ним различные выводы. Визуализировать и собрать метрики.
 В данных будут предоставлены результаты автотестов и различная метаинформация по ним, вроде разбиения на группы, теги, виды запуска. Код, позволяющий проводить анализ как текущих результатов, так и новых."
Аналитика и визуализация данных проектного семестра в сервисе ПроКомпетенции.,"Сервис ПроКомпетенции был разработан с целью помочь студентам определиться с выбором наиболее интересного проекта. В течение проектного семестра студенты, заказчики и кураторы оставляют большое количество данных, которые можно использовать для аналитики и визуализации. К примеру: профиль среднестатистического заказчика, куратора, студента; просмотреть карту проектов и понять наиболее востребованные направления; составить компетентностный профиль участника проектного практикума. В связи, с значительным ростом участников проектного практикума, появилась необходимость проводить аналитику и визуализацию в автоматическом режиме.
 Проект рекомендован для студентов 3 курса.","Разработка инструментов автоматизированной аналитики и визуализации данных проектного семестра в сервисе ПроКомпетенции. По итогам выполнения проекта:
 -В сервисе ПроКомпетенции реализована функция выгрузки данных. 
 -Создан раздел, с автоматической визуализацией данных проектного семестра, а именно:
 Диаграмма связей ключевая технология – заказчик
 Компетентностный профиль участника проектного обучения
 Визуализация итогов предзащит, защит
 Визуализация связей куратор-ключевая технология
 Сводная карта проектов по направлениям.
 Сводная статистика проектного семестра"
Доработка дизайна и пользовательского интерфейса сервиса ПроКомпетенции.,"Сервис ПроКомпетенции был разработан с целью помочь студентам не потеряться среди множества проектов и выбрать наиболее интересный. Задача команды будет получить обратную связь от основных пользователей сервиса – студентов, и на основе ее переработать пользовательский интерфейс и графическое оформление сервиса.
 Проект рекомендован для студентов 3 курса.","Доработка пользовательского интерфейса и графического оформления сервиса ПроКомпетенции на основе опроса пользователей. По итогам выполнения проекта доработано визуальное оформление и пользовательский интерфейс сервиса ПроКомпетенции на основе опроса пользователей:
 -Создан единый дизайн-код сервиса (логотип, иконки, шрифты)
 -Обновлены основные разделы сервиса: личный кабинет студента, страница выбора проектов, регистрация, паспорта проекта"
Игра для раздела интерактивной математики,"Особенность проекта – «геймификация» учебной дисциплины с целью разнообразить процесс обучения студентов.
 Игра будет создана на движке Unity и настроена на работу в браузере с использованием WebGL.
 Стек технологий: Unity, C#, AssetStore, Visual Studio, 3DsMax, MagicaVoxel, Photoshop.","Цель: необходимо создать игру в которой будут отражены обучающие материалы из различных разделов предмета «математическая статистика». Материалы, теория и задания должны быть поданы в ненавязчивой игровой форме. В будущем предполагается использовать приложение для обучения студентов (например, при дистанционном обучении). Вэб-приложение (игру) для подачи материала в игровой форме."
Мобильное приложение “Foody”,"Для реализации функций приложения, необходимо разработать Backend на Node.js, в качестве базы данных использовать Mongo DB, для кроссплатформенной мобильной разработки: React Native. Для разработки дизайна: Figma, Framer, Adobe Photo Shop, Adobe After Effects, Whimsical","Разработка frontend составляющей мобильного приложения на React Native. Разработка backend составляющей проекта на Node.js. Разработка и тестирование интерфейса приложения. Аналитика полученных метрик и тестирование бизнес-гипотез и гипотез со стороны UX Разработать интерфейс и прототип в Figma, включая flowchart’ы ключевых пользовательских сценариев. Разработать backend и frontend составляющую продукта."
GameDev,"Особенности:
 Разработка компьютерной игры по самостоятельно составленному тех. заданию. Необходимость работы с текущими тенденциями в мире игр. Развитие как первостепенных, так и второстепенных компетенций. 
 Рекомендуемые технологии:
 Игровые движки (Unity, GameMaker Studio, Unreal Engine и т.д.);
 Редакторы исходного кода (Visual Studio Code, Notepad ++ и т.д.);
 Графические редакторы (Photoshop, pain.NET, GIMP, Aseprite и т.д.);
 3D редакторы (Blender, 3Ds Max, Maya и т.д.);
 Текстовые процессоры (Microsoft Word);
 Прототипирование (Figma).
 Рекомендуемый способ реализации:
 Написание концепт-документа;
 Написание Дизайн документа;
 Отрисовка концепт-артов;
 Создание основных скриптов;
 Создание тестовых уровней;
 Тестирование;
 Активная разработка;
 Создание графического наполнения;
 Создание интерфейсов;
 Создание дополнительных скриптов;
 Создание уровней;
 Тестирование;
 Подготовка видеопрезентации;
 Подготовка отчета по проделанной работе.","Разработка демонстрационной версии игры. Демоверсия игры, видеопрезентация, отчет о проделанной работе."
Моделирование особенностей течения туберкулеза у населения Арктики в зависимости от генотипа микобактерий туберкулеза,Проект направлен на оптимизацию оказания медицинской фтизиатрической помощи населению Арктика,"Выявить корреляции клинических особенностей течения туберкулеза у населения Арктика в зависимости от генотипа микобактерий туберкулеза Модель особенностей течения туберкулеза в зависимости от генотипа микобактерий туберкулеза, на основе которой будет оптимизирована фтизиатрическая помощь населению Арктики"
"Разработка билингвальной обучающей программы по дисциплине
 «Химия» с элементами анимации и видео-контента, включая обработку результатов итогового тестирования","На кафедре общей химии существуют сложности по обучению иностранных (англоговорящих) студентов дисциплине «Химии». Сложности вызваны рядом причин: недостаточный базовый уровень знаний химии иностранными студентами, отсутствие методической и учебной литературы по необходимым разделам химии на английском языке специализированным под обучение в медицинских ВУЗах. Кроме того, недостаточный уровень владения английским языком студентами (низкая скорость письма) не позволяет им эффективно усваивать информацию на лекциях.",эффективное обучение иностранных студентов международного отделения УГМУ по одной из основополагающих естественно-научных дисциплин - химии Работающий программный продукт под OC Windows.
Компьютерная игра аркада на стоматологическую тематику для школьников среднего звена,"В Российской Федерации активно формируется система общественного здоровья, включающая создание ""мотивирующей среды"" здоровьесбережения. С 2018 года в Российской Федерации объявлено «Десятилетие детства», провозглашен приоритет превентивных технологий, позволяющих внедрить новые методы профилактики стоматологических заболеваний у детей. Современным источником информации для детей и их родителей часто служит интернет, соцсети и приложения для смартфонов. Игра предполагает сбор и анализ данных о исходных знаниях детей о стоматологической профилактике, построение игрового процесса с эффективным обучением основам профилактики стоматологических заболеваний, и тестирования степени освоения материала.
 Планируется внедрение проекта в программу профилактики региона как части платформы стоматологического здоровья LiveDental, Возможна монетизация рекламным контентом и сотрудничество со спонсорами (производителями средств гигиены).",Формирование мотивации по уходу за полостью рта на основе интеллектуальной системы Приложение Обучающая игра для мобильных устройств с возможностью интеграции в конструктор сайтов Тильда.
Приложение планер стоматологического здоровья для фитнесс трекеров,"Анкетирование подростков показало, что чистят зубы 1 раз в день (34,7%). Есть дети, которые чистят зубы один или несколько раз в неделю и даже несколько раз в месяц. Дети и родители знают о необходимости регулярной чистки, но отмечают низкую мотивацию и отсутствие самодисциплины.
 Мобильные приложения для фитнеса доказали свою эффективность в создании и поддержании мотивации.
 Планируется внедрение проекта в программу профилактики региона как части платформы стоматологического здоровья LiveDental, Возможна монетизация рекламным контентом и сотрудничество со спонсорами (производителями средств гигиены).
 Ориентировочный перечень задач фитнес-приложения:
 Подсчет числа чисток зубов.
 Интеграция с социальными сетями 
 Постановка целей и соревнования с друзьями.
 Разработка инструментов повышения мотивации (голосовые подсказки и мотиваторы).
 Обмен данными с фитнес-браслетами и другими гаджетами.
 Работа с данными о здоровье при помощи инструментов HealthKit и Google Fit.
 Веб-интерфейс с подробной статистикой.","Формирование мотивации по уходу за полостью рта на основе интеллектуальной системы фитнес-приложение:
 Подсчет числа чисток зубов.
 Интеграция с социальными сетями 
 Постановка целей и соревнования с друзьями.
 Разработка инструментов повышения мотивации (голосовые подсказки и мотиваторы).
 Обмен данными с фитнес-браслетами и другими гаджетами.
 Работа с данными о здоровье при помощи инструментов HealthKit и Google Fit.
 Веб-интерфейс с подробной статистикой."
Цифровизационный подход к измерению биологического возраста человека,"Биологический возраст является мерой степени изношенности организма и мерой предстоящей продолжительности жизни. Продолжительность жизни испытуемого человека соизмерима с таковой у исследователя. Поэтому существующие методы исследования основываются на выявлении возраст-зависимых показателей и создании на этой основе математических моделей прогностического характера, проверить точность которых не представляется возможным.","Оценить биологический возраст человека на основе математической модели, включающей результаты измерения объективных физиологических, биохимических и гематологических параметров Методика измерения биологического возраста человека."
"Модель прогнозирования спроса на лекарственные препараты, произведенные в УрФО",Проект направлен на научное обоснование промышленных ассортиментных портфелей фармацевтических заводов УрФО на основе многофакторного анализа (промышленные/рыночные/маркетинговые/макроэкономические факторы).,"Моделирование спроса на лекарственные препараты, произведенные в УрФО в коммерческом и госпитальном сегментах фармацевтического рынка для формирования таргетированных ассортиментных портфелей. Модель спроса на продукты в целевых сегментах фармацевтического рынка"
"Геймифицированный 3D тренажер
 «Прививочный кабинет детской поликлиники»","Задачи, которые предполагается решить с участием специалистов по интеллектуально-информационным технологиям:
 - создание программной оболочки продукта с возможностью реализации различных игровых сценариев;
 - разработка 3D модели прививочного кабинета детской поликлиники по представленным фотографиям с возможностью реализации набора сценариев оснащения для отработки алгоритма проверки правильности организации работы прививочного кабинета;
 - по представленному набору сценариев реализовать отработку алгоритмов оказания неотложной помощи при поствакцинальных реакциях и осложнениях;
 - по представленному набору сценариев реализовать отработку алгоритмов применения Национального календаря прививок (с возможностью заведения различных вариантов календаря прививок).","Создание интеллектуального тренажера-симулятора для отработки и контроля сформированности профессиональных навыков у специалистов педиатрического и медико-профилактического профиля в области иммунопрофилактики инфекционных заболеваний.
 Целевая аудитория:
 - студенты педиатрического, медико-профилактического факультетов;
 - ординаторы, обучающиеся по специальностям педиатрического и медико-профилактического профиля;
 - врачи в рамках циклов повышения квалификации и профессиональной переподготовки по специальностям педиатрического и медико-профилактического профиля. Программный продукт с двумя режимами использования:
 - обучение;
 - контроль сформированности профессиональных компетенций."
«Создание ЭОР для слушателей дисциплины по выбору «Экологическая химия»,Моделирование анимированных лабораторных работ,"визуализировать основные темы практических работ, используемых в дисциплине «Экологическая химия» для практического применения на большой поток студентов 1 курса педиатрического факультета Работающий программый продукт (демоверсия): анимированные лабораторные работы: 
 1)титрование кальция, магния; хлора; перикиси водорода, 
 2)физико-химические свойства растворов (лизис, плазмолиз)
 3) качественные реакции на органические вещества
 4)определение концентрации и объема раствора при проведении инъекционной терапии.
 5) ОВР"
"Клинико-функциональная характеристика пациентов с гипертонической болезнью (ГБ), перенесших тромбоэмболию лёгочной артерии (ТЭЛА)",Необходим статистический регрессионный анализ и выявление корреляционной зависимости при сравнении показателей эхокардиографии пациентов разных групп - перенесших ТЭЛА и без ТЭЛА исходно.,"Определение функциональной особенностей пациентов с ГБ, перенесших ТЭЛА, в сравнении с группой пациентов с ГБ и без ТЭЛА Наличие или отсутствие корреляции показателей эхокардиографии разных групп пациентов"
