Название,Описание проекта,Результат/Цель 
Оценка привлекательности крупных Российских городов (регионов) на основе статистического анализа экономических факторов,"В рамках этого проекта будут выполнены следующие задачи:
Сбор и обработка данных:
Необходимо собрать данные по российским городам за последний доступный год по таким характеристикам, как плотность населения, безработица и т. д.
Применение к собранным данным методов статистического анализа
Визуализация полученных результатов (например, построение тепловых карт).",Исследование привлекательности крупных городов России на основании статистического анализа экономических и социо-экономических показателей.
Анализ тональности финансовых новостей и прогноз цен акций на Российском фондовом рынке в режиме реального времени.,"Проект разбивается на три части:
1) Web-scrapping:
Необходимо написать скрипт на Python, используя который можно было бы извлечь соответствующие комментарии/новости на агрегаторах финансовых новостей. 
2) Sentiment-analysis:
Извлечение рыночных настроений из каждого текста с использованием Словаря оценочных слов и выражений русского языка “РуСентиЛекс”. 
3) Price forecast:
Использование переменных настроений рынка в качестве объясняющих факторов цены закрытия акций публичных российских компаний с помощью линейной регрессии.",Анализ динамики рынка акций России в режиме реального времени  на основе моделей использующих рыночные настроения (market sentiments) в качестве объясняющих факторов.
Система автоматической постановки диагноза по рентгенографии органов грудной клетки,,"Разработка модели машинного обучения, решающей задачу поиска и классификации аномалий на снимках рентгенографии грудной клетки."
Выделение клеток на снимках микроскопии и их классификация с помощью методов машинного обучения,,"Разработка модели машинного обучения, решающей задачу сегментации и классификации клеток на снимках электронной микроскопии."
"Анализ скрытого представления предложений, получившегося в ходе работы различных алгоритмов машинного обучения",,"Анализ векторного пространства, образованного векторами скрытого представления предложений. Определение взаимосвязи кластеров, получившихся в результате кластеризации, и лейблов предложений."
,,"Проанализировать подключения к корпоративной сети Wi-Fi. Организовать автоматическое ведение базы устройств, использующих Wi-Fi, сбор статистики подключений, аудит успешности подключения. Автоматическое определение вендоров устройств. По анализу журналов аудита с базовых станций составить профиль пользователя (определять «ореол обитания») "
,,"При помощи технологий нейронных сетей провести анализ БД подключаемых устройств Wi-Fi. Собрать стенд. Автоматическое оповещение по факту аномального поведения владельца устройства WiFi (по «ореолу обитания», либо по иной активности) "
,,Инструмент контроля распределения АРМ по OU в домене Банка с учетом обрабатываемой на АРМ категорией информации через анализ полномочий ЭП пользователя.
,,"Зафиксированы факты некорректного применения групповых доменных политик к АРМ. Требуется провести исследовательскую работу по определению признаков (прямых или косвенных) позволяющих дистанционно выявлять такие АРМ (анализ логов домена, АРМ, системы централизованного управления АРМ - SCCM). Разработка инструмента анализа и выявления."
,,"C помощью машинного обучения и нейронных сетей, создать инструмент анализа видеопотока с камер наблюдения, для выявления перемещения обслуживающего персонала (клининг и т.п.). Анализ перемещения такого персонала и возможность анализа перемещения специализированного оборудования (пылесос, тележка с расходными материалами). Пример реализации аналогичной задачи: https://tproger.ru/translations/parking-searching/"
,,"Анализ стабильности трех точек на теле человека. Выбираем три точки: на центромассе человека, под шеей на плечах, на голове. Необходимо узнать какая точка наиболее стабильна при ходьбе. Для этого будут использоваться сенсоры телефона гироскоп и акселерометр. Алгоритм такой: а) запускаем приложение из market’а, которое сохраняет значения сенсоров. б) закрепляем телефон на заданной точке. в) запускаем запись. г) ходим 30 минут. д) меняем точчку записи. е) собираем данные со всей команды ж) визуализируем графики з) считаем среднюю дисперсию для каждой точки по набору данных."
,,"Написать мобильное приложение, которое превращает телефон в мышку. Берем данные акселерометра. Преобразуем их в стандартные команды мышки. Подключаем телефон по bluetooth к компьютеру. Написать драйвер к винде. Можно разделить на две задачи."
Расширенный модуль рассчета и анализа боковой ТРГ головы в программе CephLab (определение скелетного возраста пациентов в зависимости от стадии формирования шейных позвонков),,"Создание дополнительного модуля для определения скелетного возраста пациентов в зависимости от стадии формирования шейных позвонков согласно боковой ТРГ головы для модернизации клинической работы врача-ортодонта, компьютеризированной обработки данных пациентов. 

Дополнительный модуль позволит загружать в программу боковые ТРГ пациентов, производить анализ формы, размера и пропорции шейных позвонков, получать вывод о стадии скелетного возраста пациентов, производить экспорт полученных данных в word-файл"
Программа для рассчета и анализа прямой ТРГ,,"Создание программы для рассчета и анализа линейных и угловых показателей прямой ТРГ для модернизации клинической работы врача-ортодонта, компьютеризированной обработки данных пациентов. Программа позволит загружать рентгеновские снимки (прямую ТРГ), расставлять точки для рассчетов, получать линейные и угловые показатели, производить экспорт полученных данных  в word-файл."
Расширенный модуль рассчета и анализа боковой ТРГ головы в программе CephLab (угловые и линейные показатели ТРГ головы в боковой проекции приложения № 3 карты Персина),,"Создание дополнительного модуля для рассчета и анализа линейных и угловых показателей боковой ТРГ головы (приложение №3 карты Персина) для модернизации клинической работы врача-ортодонта, компьютеризированной обработки данных пациентов. Дополнительный модуль позволит загружать в программу боковые ТРГ пациентов, расставлять ориентировочные точки на костные, зубные и мягкотканные контуры, получать линейные и угловые показатели, указанные в приложении № 3 карты Персина, производить экспорт полученных цефалометрических данных в word-файл"
Расширенный модуль рассчета и анализа боковой ТРГ головы в программе CephLab (определение площади носоглоточной области),,"Создание дополнительного модуля для определения площади носоглоточной области и рассчета объема дыхательных путей по данных боковой ТРГ головы пациентов с нарушением носового дыхания для модернизации клинической работы врача-ортодонта, компьютеризированной обработки данных пациентов. 

Дополнительный модуль позволит загружать в программу боковые ТРГ пациентов, производить расстановку ориентировочных точек и плоскостей, проводить необходимые рассчеты, производить экспорт полученных данных в word-файл"
Разработка сайта ДПО ИРИТ-РтФ,Разработка сайта ДПО ИРИТ-РтФ должна вестись в тесной интеграции с ДИТ УрФУ. Сайт должен быть завязан на часть онлайн-сервисов УрФУ.,Для развития дополнительного профессионального образования необходимо спроектировать и запустить сайт ДПО ИРИТ-РтФ
Разработка мобильного приложения (веб-сервиса) по открытым данным,"Сервис должен использовать открытые данные из разных источников (data.gov.ru, open.gov.ru, data.mos.ru и др.). ","Для развития и активного использования данных государственных органов, а также их стандартизации и актуализации требуется разработка различных востребованных сервисов использующих открытые данные."
Проектирование сайта ИнФО УрФУ,Сайт должен использовать текущую платформу TYPO3. ,Для дальнейшего развития Института фундаментального образования необходимо спроектировать и реализовать новый вариант сайта ИнФО.
Система прогнозирования поступления на ИРИТ-РтФ,"Система должна строить графики проходного балла за предыдущие 2 года по всем направлениям ИРИТ-РтФ с учетом количества бюджетных мест, а также показывать приблизительный прогноз проходного балла по указанному количеству бюджетных мест.",Система прогнозирования поступления в УрФУ (ИРИТ-РтФ) проходных баллов ЕГЭ  по динамике предыдущих периодов
SMM продвижение группы Абитуриент ИРИТ-РтФ в социальной сети с помощью API,"Реализовать комплексное продвижение группы в ВКонтакте, включая составление SMM-стратегии, графическое оформление групп, написание и реализация чек-листа создания сообщества, создание контент-стратегии, управление репутацией в социальных сетях, конкурсы в социальных сетях максимально используя API ВК.",Реализовать механизмы комплексного продвижения группы в ВКонтакте с помощью API
Система презентации информации по проектам студентов,"Система должна иметь систему авторизации, возможность загрузки описания проектов, включая изображения (фотогалерею), загрузку других типов файлов, облако тегов, иерархический каталог проектов. Доработка и улучшение функциональности текущей системы project-it.info.",Доработка и улучшение функциональности текущей системы презентации проектов project-it.info.
Сегментация многоцветного меша для 3D печати.,Продолжение проекта первого семестра.  Предполагается оптимизация алгоритмов хранения и разрезания. Оптимизация хранения и генерации новых точек разбиения на основе kd-деревевьев и окто-деревьев. В конце семестра ожидаются натурные испытания с 3d принтером.,
Сегментация тканей миокарда на КТ/МРТ снимках. Введение в теоретеко-множественную сегментацию.," Проект направлен на сегментацию тканей на медицинских изображениях. Предлагается использовать теоретико-множественный подход для сегментации. Проект предполагается как практический (на выходе будут оформлены результаты в виде публикации и, возможно, программный продукт) и как исследовательский (будут разобраны основы ТМ сегментации и классические алгоритмы).",
Введение в аниматронику.,"Введение в базовые элементы аниматроники и антропоморфной робототехники.
Проект направлен на разработку аниматронной робо-руки и ПО для её управления.  Этот проект будет базовым для следующих проектов, связанных с антропоморфной робототехникой, методов распознавания и захвата движений и методов моделирования и управления сложными системами (роботами).",
Обработка изображений высокого разрешения и техническое зрение. Обработка аэрофотоснимков.,"Проект направлен на отработку различных методов и алгоритмов обработки изображений как в RGBXY пространстве (цветное изображение), так и многомерном RGBXYZ (облако размеченных точек) для решения задач ГИС. Планируется большое количество исследований и математики. В конце ожидается практический результат в виде программного модуля и функционального алгоритма и научный в виде публикации исследовательской статьи и выступления на научной конференции.",
Сегментация данных магнитно-резонансной и компьютерной томографии методами глубокого обучения,"Данные магнитно-резонансной и компьютерной томографии требует от врачей много рабочего времени на обработку. Например, для МРТ сердца нужен час времени, из него только 20 минут проводится запись данных, а 40 минут уходит на ручную обработку результатов. Если разработать качественных алгоритм сегментации органов, то можно сократить время обследования, увеличить поток пациентов и быстрее окупать оборудование, что сделает его более распространенным и доступным.
В ходе реализации проекта предполагается повторение state-of-the art работ в области автоматической сегментации миокарда левого желудочка сердца по данным МРТ. В качестве обучающей и валидационных выборок будут использована открытая база данных Sunny Brook LV Segmentation challenge (http://www.cardiacatlas.org/challenges/lv-segmentation-challenge/). Развитие проекта в сторону усложнения (выделение правого желудочка, левого и правого предсердий, выделение регионов инфаркта по позднему контрастированию с гадолинумом) возможно по желанию проектной команды. Также стоит отметить, что автоматическое построение полной геометрической модели сердца по данным МРТ или КТ является нерешенной научной проблемой и на момент написания проекта не выполнена никем в мире.",Разработка прототипа системы автоматической обработки данных магнитно-резонансной и компьютерной томографии сердца
"Классификация ритма сердца по коротким записям методами глубокого обучения
","Классификация ритма сердца по коротким записям нужна в большом количестве медицинских приложений: контроль состояния пациента в реанимации, управление кардиостимулятором, оценка здоровья по данным носимых устройств. Разработав хороший алгоритм классификации ритма сердца, мы сможем помочь в спасении жизни и здоровья пациентов, а также значительно улучшить качество жизни у людей преклонного возраста.
Используя данные PhysioNet/Computing in Cardiology Challenge 2017 классифицировать короткие записи ЭКГ на 4 типа, повторив 2-3 алгоритма из 10-ки победителей и провести качественный анализ результатов этих алгоритмов между собой. При желании проектной команды возможно объединение нескольких алгоритмов вместе для достижения лучшего результата через XGBoost.",Разработка прототипа системы классификации ритма по коротким фрагментам записей электрокардиограммы (ЭКГ)
Система определения жанра компьютерной игры по ее саундтреку,"В ходе работы учащиеся должны создать систему, способную на основе саундтрека игры или определить ее жанр, среди следующих возможных:
RPG
Strategy
Action
Racing
Реализация данного проекта позволит приобрести навыки цифровой обработки сигналов и построения систем машинного обучения, работающих с неструктурированными данными.","В ходе работы учащиеся должны создать систему, способную на основе саундтрека игры или определить ее жанр "
Разработка системы визуализации социального графа пользователя Вконтакте,"В ходе работы учащиеся должны разработать систему, способную выгрузить информацию о социальном графе конкретного пользователя, визуализировать данный граф и выделить важные метрики и элементы данного графа.
Реализация данного проекта позволит приобрести навыки работы с социальными сетями и понять, какие угрозы и возможности несет в себе данный инструмент","В ходе работы учащиеся должны разработать систему, способную выгрузить информацию о социальном графе конкретного пользователя, визуализировать данный граф и выделить важные метрики и элементы данного графа.
Система должны решать следующие задачи:
Построение соц. графа
Выделение сообществ в графе
Выделение важных людей в графе"
Разработка системы определения Fake News на основе анализа текстовых данных и социальных графов в сети Twitter,"В ходе работы учащиеся должны разработать систему, способную на основе анализа контента новости и информации о характере взаимодействия пользователей определить ее принадлежность к классу т.н. Fake News 
Распространение поддельных новостей и ложной информации через
социальные медиа стало большой проблемой как в России, так и за рубежом. Исследование данного феномена представляет большой практический интерес, как и автоматическое выявление и дезавуирование подобных новостей.","В ходе работы учащиеся должны разработать систему, способную на основе анализа контента новости и информации о характере взаимодействия пользователей определить ее принадлежность к классу т.н. Fake News "
Разработка системы построения портрета города в социальной сети Instagram,"В ходе работы учащиеся должны разработать систему, способную выгружать из социальной сети Instagram информацию о постах, размещенных в  конкретной геолокации (городе) и выполнять следующие виды анализа этих данных:
Анализ эмоциональной окраски сообщений и комментариев
Выделение лидеров общественного мнения в этом городе
Тематическое моделирование 
Анализ контента изображений 
Исследование образа города в глазах его гостей и жителей является важным направлением в урбанистке. Обладая этой информацией возможно управлять восприятием образа города и понять, чем интересуются его жители.","В ходе работы учащиеся должны разработать систему, способную выгружать из социальной сети Instagram информацию о постах, размещенных в  конкретной геолокации (городе) и выполнять следующие виды анализа этих данных:
Анализ эмоциональной окраски сообщений и комментариев
Выделение лидеров общественного мнения в этом городе
Тематическое моделирование 
Анализ контента изображений "
Промобот для приемной кампании УрФУ ,"Предлагается доработать имеющийся прототип промобота для приемной компании и реализовать три основные функции: общение с собеседником, реагирование на человека в кадре камеры, безопасное перемещение робота. 
Проект рассчитан минимум на три группы студентов: 
1-я группа: Разработка сценариев общения на базе распознавания google и синтезатора речи. Существующая программа написана на Python. 
2-я группа: Адаптация программ по распознаванию лиц на базе OpenCV для детектирования и узнавания лиц собеседников промобота.
3-я группа: Создание подвижной платформы (шасси) на основе мотор-редукторов, энкодеров, дальномеров, Arduino-контроллеров, и т.д. Реализация программного интерфейса для общения с «головой». Реализация функции анти столкновений и обхода препятствий. Реализация сценариев обхода помещения и поиска людей (возможно с использованием SLAM).   ",Восхищать и удивлять абитуриентов пообщавшихся с автономным интеллектуальным мобильным промоботом созданным в УрФУ. 
Игровая робототехника ,"Предлагается пройти три этапа соревнований, используя робототехнический конструктор ТРИК:
Этап 1 – Робо сумо. Задача робота обнаружить и вытолкать противника за круг, обозначенный черной линией.
Этап 2 – Лабиринт. Задача робота найти выход из заранее не известного лабиринта.
Этап 3 – Охота. Задача робота обнаружить и лопнуть шарик на роботе противнике.",Знакомство с компонентами и алгоритмами управления мобильных роботов. 
ЕВРОБОТ-2019,"Сборка мобильного робота с захватами, одометрией и др. Разработка и реализация стратегии для зарабатывания очков согласно регламента соревнований.","Допуск и участие в Российском этапе международных соревнований автономных роботов ЕВРОБОТ-2019 (конец апреля, г. Москва). "
Применение микросервисной архитектуры для реализации графических компонентов Enterprise решения ,"Каждый контрол - отдельное встроенное приложение на JS, получение данных с сервера осуществляется только через REST API. Необходимо использовать механизмы обмена данными между отдельными приложениями-виджетами. 
",
Разработка настраиваемых форм редактирования с набором взаимосвязанных скрываемых полей ввода ,"Предполагается разработка виджета на JS с набором полей ввода, где видимость отдельных полей ввода зависит от значений, введенных в другие поля ввода. Виджет должен настраиваться через метаинформацию, правила видимости полей должны задаваться через скрипты, либо специализированный DSL. ",
Реализация диаграммы Ганта на JS,,
Реализация Kanban досок на JS c функцией DnD ,,
Реализация компонента быстрого учета трудозатрат. (аналог Tempo plugin от JIRA) на JS c возможностью конфигурирования. ,"* - JS - любой современный фреймворк типа React,Angular, Vue JS 
",
Реализация многопоточной работы с помощью очередей. ,"Есть базовый интерфейс OperationQueue, целью которого является обработка Operation. OperationQueue может обрабатывать Operation в несколько потоков. Operation должны обрабатываться только, если OperationQueue активна. В противном случе все операции ждут возобновления работы. У OperationQueue можно изменить количество активных потоков в любое время. 
Есть интерфейс Operation, целью которого является выполнение конкретной задачи. Operation может быть в одном из 3 статусов: 
ready - готова к выполнению executing - выполняется finished - выполнена 
OperationQueue может выполнять только те операции, которые готовы к выполнению(ready). Каждая операция может зависеть от других операций. Операция не может быть взята в работу до тех пор, пока не завершены те операции от которых зависит текущая. 
Операции могут выполняться на разных OperationQueue. Ниже представлены базовые интерфейсы: 
interface OperationQueue { void getThreadsCount() 
void setThreadsCount(Int threads) bool isActive() void setActive(bool active) void addOperation(Operation operation) void addOperations(Operation... operations) void cancel(Operation operation) 
void cancelAll() } 
interface Operation { bool isReady() 
bool isExecuting() bool isFinished() void start() void addDependency(Operation operation) void cancel() 
} Как использовать Operation и OperationQueue: 
OperationQueue queue = new ...(); Operation foo = new PrintFooOperation() { 
void start() { print('foo print') 
} }; 
Operation bar = new PrintBarOperation() { void start() { 
print('bar print') } 
}; bar.addDependency(foo) queue.addOperations(foo, bar) // foo print // bar print",
Разработка библиотеки для использования протоколов TLS и SSL ,"Краткое описание: в java есть стандартная библиотека для реализации безопасных сетевых соединений(JSSE). Но для того чтобы в Android-проекте добавить возможность выполнять запросы к серверу через недоверенный сертификат или через клиентский сертификат приходится писать реализации на каждый случай, а также в зависимости от версии ОС нужно использовать разные версии протоколов. У каждой реализации свои нюансы и особенности. Соответственно задача библиотеки будет в том чтобы, разработчик мог легко внедрить в свой проект поддержку TLS и SSL. Так как JSSE это стандартная библиотека JAVA, в дальнейшем, разработанную библиотеку можно приспособить для всех JAVA-проектов. 
Какие плюсы для нас: разработанную библиотеку можно будет использовать в нашем андройд-клиенте и тем самым удалить пласт логики по настройке TLS и SSL для недоверенных и клиентских сертификатов, а также для версий ОС ниже 5 
Немного конкретики по реализации. Ключевым классом в JSSE является SSLContext он формируется с помощью TrustManager(менеджер доверенных хостов) и KeyManager(менеджер ключей сертификатов). Соответственно студенту необходимо реализовать создание SSLContext в зависимости от конкретного бизнес кейса. 
Кейс1: Построение SSLContext в случае простой авторизации 
Кейс2: Построение SSLContext в случае авторизации HTTPS с некорректным сертификатом на сервере 
Кейс3: Построение SSLContext в случае авторизации HTTPS с помощью TLS-протокола для версии ОС старше LOLIPOP 
Кейс4: Построение SSLContext в случае авторизации HTTPS с помощью TLS-протокола для версии ОС ниже LOLIPOP 
Кейсы могут добавляться, так как в данном случае я описываю только работу для Android проектов. ",
JS IDE для Groovy ,"
Хочется иметь JS компонент (редактор) который будет как IDE для груви, причем кроме знания GroovyDevKit/JDK будет еще знать кастомные API (все public в некотором наборе JAR) клиент/сервер 
Нужно еще возможность запрета вызова каких либо методов. 
Поясню мысль - чтобы была возможность настроить анализ кода в редакторе так, чтобы когда в таком редакторе человек напишет System.exit(0) ему автоматически вылезет подсказка ""Suicide is not allowed here"" и по такому же принципу ""фильтровать"" код с настраиваемым набором запрещенных вызовов. 

Тут важно быстродействие браузера/сервера (скорость и память) также важно минимизировать число сетевых обращений между сервером и клиентом ",
Реализация древовидного транзакционного кеша поверх java.util.Map(Infinispan CacheImpl) ,"Есть Infinispan с модулем, который разработчики IS собираются выкинуть, но SD от него очень зависит. 
вот пример интерфейса, который необходимо реализовать org.infinispan.tree.TreeCache<K, V> 
Обязательно использовать транзакции с уровнем изоляции READ_COMMITTED/REPEATABLE_READ 
Обязательно при этом экономить память и уметь довольно быстро искать ключи. 
Модификация данных в элементах должна быть как можно более атомарная, то есть чтобы изменения в такой структуре данных было легко реплицировать. ",
Классификация медицинских изображений,"Используя размеченный экспертами набор медицинских изображений, построить модель классификации диагноза",
Создать тематическую модель классификации научных публикаций,"Разработать тематическую модель, достаточно точно классифицирующую научные публикации.",
Автоматический поиск ошибок в библиографии,Разработать модель определения ошибок в библиографии научных публикаций. Модель основана на методах определения аномалий.,
Генерация типов почв и растительности по карте высот,,
Случайная генерация машин на основе набора дизайнов и доступных деталей,,
"Движение автомобиля по навмешу, в т.ч. с динамическими препятствиями (другие автомобили), движение группы автомобилей",,
"Физика составных твёрдых тел, с деформируемыми связями и разрушаемыми связями",,
Оптимизация отрисовки машин состоящих из отдельных деталей,,
"Рендеринг облаков, реалистичного неба и погодных эффектов",,
Улучшение качества изображений,"Нужно изучить тему улучшения качества изображений при помощи нейросетей, найти и научиться пользоваться предобученной моделью или найти датасет и обучить свою нейросеть согласно последним исследованиям на эту тему",
Распознавание блочного текста,"Нужно взять инструмент для распознования текста (например tesseract) и научиться распознавать им тексты, которые организованы в различные блоки или колонки + выдавать результат работы инструмента в красивом виде. Здесь скорее всего потребуется работа с opencv.",
