Название,Описание проекта,Результат/Цель 
Имитационная модель движения судов в проливе,Имеющийся тренажер позволяет создавать только простейшие сценарии вручную,"Создание реалистичных сценариев движения судов для тренажера по обучению операторов Единой Службы Управления Движением Судов (ЕСУДС) Керченского пролива Приложение, позволяющее:

задавать параметры реалистичного сценария;
управлять движением судов (оператор СУДС, инструктор);
управлять архивом.
База данных и набор хранимых процедур, которые позволяют:

извлекать из реальных данных по движению судов и хранить статистическую информацию, необходимую для работы имитационной модели;
запоминать и хранить результаты выполнения сценария."
БИОИНФОРМАТИКА в кардиологии,"Изменения некоторых генов или изменение числа их копий приводят к тяжелым наследственным заболеваниям человека. В том числе к дилатационным кардиомиопатиям, хронической сердечной недостаточности и другим заболеваниям сердца.

В проекте предполагается использовать открытые базы данных по геному человека с целью поиска вариаций белков, связанных с работой кардиомиоцитов. В том числе с целью поиска причин возникновения генетических заболеваний и развития патологических изменений.

Для кого этот проект. Проект направлен на студентов, которые хотят познакомиться с основами биоинформатики и научиться обрабатывать генетическую информацию.

Какие компетенции вы получите, если присоединитесь к проекту. Основы биоинформатики, построение конвейеров для обработки генетической информации. Программирование на Python. Обработка данных.

Карьерные пути для которых проект пригодится в портфолио:  научный сотрудник в области Computer Science, Bioinformatics или Biomedical Engineering; Data Scientist; Data Engineer; инженер-программист на Python; аналитик.
","Провести анализ открытых данных о человеческом геноме с целью получить новую информацию о наследственных заболеваниях сердца Новые научные знания об исследуемом объекте, задел для статьи."
Исследование нейронных сетей типа Joint Unsupervised Learning,"В 2016 году был предложен новый тип нейронных сетей для задач сегментации изображения без учителя:
Yang J., Parikh D., Batra D. Joint unsupervised learning of deep representations and image clusters //Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition. – 2016. – С. 5147-5156.

В осеннем семестре 2019 года мы исследовали применимость такого подхода в широком спектре биомедицинских приложениях. В новом семестре мы хотим закончить наше исследование, повысить точность сегментации и написать научную работу о наших результатах.

Для кого этот проект. Проект направлен на студентов, которые уже знакомы с методами обработки данных, но ХОТЯТ ДОСТИЧЬ ПРЕВОСХОДСТВА над другими в этой области исследования. В том числе уметь разрабатывать и тестировать новые методы обучения нейронных сетей.

Какие компетенции вы получите, если присоединитесь к проекту. Глубокие нейронные сети для обработки изображений. Программирование на Python. Обработка данных. Умение вести научную работу. 

Карьерные пути для которых проект пригодится в портфолио:  Data Scientist, Data Engineer, научный сотрудник в области Computer Science или Biomedical Engineering, инженер-программист на Python, аналитик
","Закончить исследование и подготовить публикацию Новые научные знания об исследуемом объекте. научная статья, отправленная на рецензирование."
"DL CLUB. Развитие локального сообщества студентов, ставящих целью найти работу в области Data Science","На данный момент у нас есть группа ВК и youtube канал для локального сообщества Data Science специалистов: https://vk.com/computational_science
https://www.youtube.com/channel/UCIvll4lo4hGPh4CVHLHQJVw
В новом семестре, мы хотим развить наш Youtube канал, группу вконтакте и улучшить сайт.

Для кого этот проект. Проект направлен на студентов, которые не хотят программировать или обрабатывать данные, но хотят научиться организовывать сообщества, проводить общественные мероприятия, заниматься PR и SMM.

Какие компетенции вы получите, если присоединитесь к проекту. Монтаж и обработка видео, создание сайта на готовых движках, ведение сообщества ВК и Facebook, организация локальных сообществ и ивент-менеджмент.

Карьерные пути для которых проект пригодится в портфолио: интернет маркетолог, SMM специалист, PR-менеджер, менеджер проектов, ивент-менеджер
","Развитие студенческого и профессионального сообщества специалистов по обработке данных  DL CLUB Проект будет считаться успешным при выполнении трех из четырех критериев:
●	Будет подготовлена документация по сложившимся процессам и создана система менеджмента качества контента;
●	Количество подписчиков возрастет на 30%;
●	Будут построены предиктивные модели посещаемости, количества просмотров и роста сообщества;
●	Будет настроена система сбора пожертвований.
"
Мобильное приложение учета компьютерного оборудования,"На предприятии имеется система учета оборудования GLPI с открытым исходным кодом на php и СУБД mysql. 
Необходимо разработать API внутри существующей системы и подключить к нему новое разрабатываемое мобильное приложение.
Приложение должно уметь сканировать QR-код, после сканирования открывать карточку инвентарной единицы. Должен быть удобный интерфейс добавления новых инвентарных единиц.
К разработке предлагается мобильное приложение на двух платформах: iOS и Android. Android в приоритете.
","Разработка мобильного приложения с авторизацией и сканированием QR-кодов, интегрированное с API системы учета компьютерного оборудования Мобильное приложение, имеющее следующий функционал:
1.	Подключение по API к системе учета компьютерного оборудования;
2.	Авторизация пользователей;
3.	Сканирование QR-кодов;
4.	Добавление нового и редактирование имеющегося оборудования.
"
РАСПОЗНАВАНИЕ ЭМОЦИЙ ПО ГОЛОСУ ПРИ ПОМОЩИ ИСКУССТВЕННЫХ НЕЙРОННЫХ СЕТЕЙ,На данный момент предыдущей группой студентов задача решена при помощи классических методов машинного обучения. Хотелось бы получить вариант решения при помощи ИНС.,"Распознавание эмоций по голосу при помощи нейронных сетей. Качество модели в данном проекте не так важно, как умение строить нейросетевое решение данной задачи. Архитектура ИНС, решающая поставленную задачу, скрипт на любом выбранном языке программирования с выбранной архитектурой ИНС."
Распознавание и нанесение на карту городских деревьев по данным открытых источников,"Создать автоматизированную систему, которая, обучившись на существующих в открытом доступе картах и открытых регистрах городских деревьев (cм. раздел «Приложения»), сможет автоматически наносить на карту деревья по данным открытых источников фотографической информации, таких как Google Earth, Google Street View, Яндекс.Панорама и др.","Создание регистра городских деревьев города Екатеринбурга. Автоматизированная система, получающая на вход границы региона карты города в открытом источнике, выдающая таблицу с координатами деревьев и их основными параметрами (род, высота, диаметр ствола – что удастся определить) на выходе."
GameDev. Character design.,"Для разработки персонажа необходимы как художественные, так и хардкодинговые навыки. Я знаю, что среди вас есть такие люди, кто может не только в программирование, но и имеет чувство прекрасного. ","Разработка персонажей для игры. Предполагается 3 возможных результата:
3D модель пресонажа, разработанная в соответсвии с диз.доком. 
Текстуры для модели.
Анимации для модели.
"
Робототехника и аниматроника,"В коллектив больше всего нужны низкоуровневые программисты для программирования микроконтроллеров, люди с инженерным мышлением, готовые придумывать кинематические системы, которые не развалятся под собственным весом)","Разработка прототипа мобильного робототехнического комплекса для исследования труднодоступных и опасных мест, картографирования и телеприсутсвия. Моделирование и/или прототипирование одного из элементов мобильного робототехнического комплекса."
"	
Автоматизация формирования электронной визитки для ФЛ","Необходимо реализовать возможность формировать визитную карточку физического лица (номер телефона, ФИО, учетная запись из VK, instagram, facebook) и возможность передавать ее на другие мобильные устройства, например, через QR-код (возможно будет предложен и реализован другой удобный способ) с последующим их сохранением в карточке контакта. Необходимо предусмотреть возможность выбирать данные, которые передаются в сформированной карточке, например передается только учетная запись в facebook и ФИО. При сохранении должна быть соблюдена корректность сохранения данных, т.е. в Фамилии - должна сохраняться Фамилия, в Имени - имя, и т.д. ) возможность передачи должна быть реализована между iOS-iOS, android-android, iOS-android.","минимизация расходов времени на обмен контактами и учетными записями в разных системах Реализованная возможность передавать и сохранять визитную карточку в мобильном устройстве, передача информации должна осуществляться по защищенному каналу. Время передачи не должно занимать более 2-х секунд."
"Автоматизация процесса продажи и проверки билетов на Корпоративное мероприятие («Новогодний корпоратив», «Летний день»).","Необходимо сделать:

Сайт продажи билетов на корпоративные мероприятия организации.
Приложение для обработки билетов при посещении мероприятия.
Реализовать возможность строить отчеты и графики по аналитическим данным в любой момент времени.","минимизация расходов на печать билетов (Уход от использования бумаги (Digital). Работающее приложение и сайт, с  нагрузкой  2500 человек, время отклика системы 1-1,5 сек."
Детектирование девиантного поведения людей.,"В данном проекте предлагается ознакомление и применение нейроннных сетей для анализа видео. В ходе работы вы научитесь: формировать базу данных, обучать нейронную сеть, анализировать полученные результаты, корректировать архитектуру нейронной сети, оптимизировать работу своего алгоритма. Проект должен быть реализован с применением технологии нейронных сетей и библиотек машинного зрения.","Разработка ПО, выполняющего детектирование девиантного поведения людей. К такому поведению относятся драки, порча имущества, другие нестандартные ситуации. Программное обеспечение с описанием функционала."
Разработка алгоритма детектирования ДТП.,В данном проекте предлагается разработка алгоритма детектирования ДТП.  В ходе работы вы научитесь: использовать нейронные сети для классификации и детектирования объектов и для анализа видео. Проект должен быть реализован с применением технологии нейронных сетей и библиотек машинного зрения.,"Разработка ПО, выполняющего детектирование ДТП. Программное обеспечение с описанием функционала."
Разработка алгоритма оценки характеристик движущегося автомобиля.,"В данном проекте предлагается разработка алгоритма анализа характеристик движущегося автомобиля. К таким характеристикам относятся: скорость, направление, габариты, цвет, марка, модель. В ходе работы вы научитесь: использовать нейронные сети для классификации и детектирования объектов, математические алгоритмы для обработки изображения. Проект должен быть реализован с применением технологии нейронных сетей и библиотек машинного зрения.","Разработка ПО, выполняющего оценку характеристик движущегося  автомобиля. Программное обеспечение с описанием функционала."
Формирование БД,"В данном проекте предлагается анализ имеющихся видеоматериалов, категоризация и формирование базы данных. Студентам будет предоставлен набор видео со сценами разного характера. Потребуется сформировать перечень возникающих ситуаций и на их основании разбить видео по категории. Результат работы будет использован в проектах, связанных с детектированием девиантного поведению людей, нарушений правил дорожного движения, классификаций действий и т.п.",Формирование БД из предоставленных видеоматериалов.  Сформированная база данных
OTRS EXPORTER,"OTRS (Open-source Ticket Request System) - открытая система обработки заявок. OTRS позволяет организациям, занимающимся технической поддержкой каких-либо проектов, совместно работать над решением проблем пользователей.",Разработка программного решения Готовое ПО
Восстановление пунктуации в тексте при помощи искусственных нейронных сетей,"Проблема – на данный момент, нет решения данной проблемы для текстов русского языка.","Обучить нейронную сеть восстанавливать пунктуационные знаки в текстах Accu > 80%

F1 > 70%"
