,Название,Описание проекта,Результат/Цель ,full
10,Система хранения информации по проектам студентов,"Система должна иметь систему авторизации, возможность загрузки описания проектов, включая изображения (фотогалерею), загрузку других типов файлов, облако тегов, иерархический каталог проектов.",Веб-сервис с граф. интерфейсом,"Система хранения информации по проектам студентов Система должна иметь систему авторизации, возможность загрузки описания проектов, включая изображения (фотогалерею), загрузку других типов файлов, облако тегов, иерархический каталог проектов. Веб-сервис с граф. интерфейсом"
11,Система наведения турели,"Задача: Разработать а) систему оценки коружающей сцены; б) наведения турели на несанкционированный объект в сцене; в) соправождение несанкционированного объекта в сцене; г) Ilde режим, в котором осуществляется мониторинг сцены на предмет ""нарушителей"".",Программно-аппаратный комплекс,"Система наведения турели Задача: Разработать а) систему оценки коружающей сцены; б) наведения турели на несанкционированный объект в сцене; в) соправождение несанкционированного объекта в сцене; г) Ilde режим, в котором осуществляется мониторинг сцены на предмет ""нарушителей"". Программно-аппаратный комплекс"
12,Распознавание тканей миокарда на МРТ снимке,"Дано изображение/ряд изображенний МРТ, содержащих в том числе ткани миокарда. Необходимо предложить методику сегментации изображения, выделяющей миокард с точностью не менее 85% (ROC) или алгоритм выделения границ стенки сердца (внешней и внутренней) с такой же точностью.",Веб-сервис с графическим интерфейсом,"Распознавание тканей миокарда на МРТ снимке Дано изображение/ряд изображенний МРТ, содержащих в том числе ткани миокарда. Необходимо предложить методику сегментации изображения, выделяющей миокард с точностью не менее 85% (ROC) или алгоритм выделения границ стенки сердца (внешней и внутренней) с такой же точностью. Веб-сервис с графическим интерфейсом"
13,Парсинг многоцветного меша для подготовки к 3D печати.,"Дано: меш в формате .OBJ с наложенной тексурой на поверхности. Необходимо: Разбить весь объем меша на подмеши по поличеству цветов (или больше) в тексуре так, чтобы а) меши не прекрывались; б) объединение мешей давало исходное множество; в) часть границы сабмеша совпадала с частью границы исходного меша в месте, где цвет текстуры соответствует ""цвету"" сабмеша.",Програмно-аппаратный комплекс,"Парсинг многоцветного меша для подготовки к 3D печати. Дано: меш в формате .OBJ с наложенной тексурой на поверхности. Необходимо: Разбить весь объем меша на подмеши по поличеству цветов (или больше) в тексуре так, чтобы а) меши не прекрывались; б) объединение мешей давало исходное множество; в) часть границы сабмеша совпадала с частью границы исходного меша в месте, где цвет текстуры соответствует ""цвету"" сабмеша. Програмно-аппаратный комплекс"
14,Сегментация изображения аэроснимков,"Дано аэро/космоснимок. Необходимо выделить на нем регулярные структуры (например, задания или жилой массив)",Веб-сервис с графическим интерфейсом,"Сегментация изображения аэроснимков Дано аэро/космоснимок. Необходимо выделить на нем регулярные структуры (например, задания или жилой массив) Веб-сервис с графическим интерфейсом"
15,Разработка сайта поддержки уличного искусства,"Проанализировать и переосмыслить опыт весеннего семестра, провести аналитические опросы стейкхолдеров проекта, сформулировать итоговую концепцию проекта, разработать и запустить сайт.",Веб-сервис,"Разработка сайта поддержки уличного искусства Проанализировать и переосмыслить опыт весеннего семестра, провести аналитические опросы стейкхолдеров проекта, сформулировать итоговую концепцию проекта, разработать и запустить сайт. Веб-сервис"
16,Знакомство с техническим зрением,"Развернуть (найти, скачать, установить, запустить) комплект программных средств по распознаванию лиц, используя готовые инструкции по установке. Потестировать работу приложения используя веб-камеру. Немного адаптировать программный продукт реализовав отрисовку координат объекта в кадре и определение его удаленности по размеру окна.",Программно-аппаратный комплекс,"Знакомство с техническим зрением Развернуть (найти, скачать, установить, запустить) комплект программных средств по распознаванию лиц, используя готовые инструкции по установке. Потестировать работу приложения используя веб-камеру. Немного адаптировать программный продукт реализовав отрисовку координат объекта в кадре и определение его удаленности по размеру окна. Программно-аппаратный комплекс"
17,Балансирующий по типу сигвэя робот,"Сборка робота из конструктора ТРИК. Робот представляет двухколесную тележку, центр тяжести которой расположен выше оси колес. Робот должен уравновешивать себя точно так же, как Segway. Чтобы сбалансировать робота, двигатели должны противодействовать падению робота.",Робот-прототип на базе конструктора ТРИК,"Балансирующий по типу сигвэя робот Сборка робота из конструктора ТРИК. Робот представляет двухколесную тележку, центр тяжести которой расположен выше оси колес. Робот должен уравновешивать себя точно так же, как Segway. Чтобы сбалансировать робота, двигатели должны противодействовать падению робота. Робот-прототип на базе конструктора ТРИК"
18,"Прибор, следящий за осанкой человека.","Изучение Ардуино. Снятие и интерпретация результатов с инерционно-измерительных модулей (гироскоп, акселерометр, магнетометр). Разработка конструкции прибора (где и как и какие датчики будут располагаться). Сохранение данных с датчиков в память Ардуино и отправка на персональный компьютер.",Программно-аппаратный комплекс на базе Arduino,"Прибор, следящий за осанкой человека. Изучение Ардуино. Снятие и интерпретация результатов с инерционно-измерительных модулей (гироскоп, акселерометр, магнетометр). Разработка конструкции прибора (где и как и какие датчики будут располагаться). Сохранение данных с датчиков в память Ардуино и отправка на персональный компьютер. Программно-аппаратный комплекс на базе Arduino"
19,"Сбор статистических данных о темах
 программ политических партий","Необходимо статистическими методами выделить темы, содержащиеся в программах политических партий различных стран. Определить как эти темы менялись с течением времени.",Статистика изменения тем программ политических партий различных стран за несколько лет.,"Сбор статистических данных о темах
 программ политических партий Необходимо статистическими методами выделить темы, содержащиеся в программах политических партий различных стран. Определить как эти темы менялись с течением времени. Статистика изменения тем программ политических партий различных стран за несколько лет."
20,"Создание системы, выделяющей строения и дорожную сеть на аерофотоснимках","Создать систему, в основе которой будет лежать нейронная сеть. На вход системе подается аерофотоснимок, а на выходе должен получится тот же снимок, но с выделенными границами строений и дорог.","Система, которая позволит выделять границы строений и дорог на аерофотоснимках.","Создание системы, выделяющей строения и дорожную сеть на аерофотоснимках Создать систему, в основе которой будет лежать нейронная сеть. На вход системе подается аерофотоснимок, а на выходе должен получится тот же снимок, но с выделенными границами строений и дорог. Система, которая позволит выделять границы строений и дорог на аерофотоснимках."
21,Создание системы выявления аномалий на снимках компьютерной томографии,"Создать систему, которая с помощью нейронной сети будет определять наличие аномалий на снимках компьютерной томографии. На вход системе подается набор снимков КТ, а на выходе пользователь должен получить ответ есть ли аномалии в этом наборе снимков.","Система, которая позволит определить наличие аномалий на снимках КТ.","Создание системы выявления аномалий на снимках компьютерной томографии Создать систему, которая с помощью нейронной сети будет определять наличие аномалий на снимках компьютерной томографии. На вход системе подается набор снимков КТ, а на выходе пользователь должен получить ответ есть ли аномалии в этом наборе снимков. Система, которая позволит определить наличие аномалий на снимках КТ."
0,Инфобот,"Финансовой службе заказчика необходимо знать какие контрагенты (~1000) используют упрощенную систему налогообложения.
Проект предполагает автоматизацию сбора и обновления этих данных с помощью технологии роботизации на базе приложения UiPath. Скрипт должен извлекать контрагентов из системы 1С Предприятие, искать атрибут в открытой базе ФНС, и сохранять результат в таблицу Google Docs.
В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать финансовую службу.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта будет предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath, всеми специализированными приложениями, а также необходимые доступы в тестовые и (в дальнейшем) в продуктивные системы.","Автоматическое извлечение и актуализация информации об атрибутах юридических лиц - контрагентов заказчика из согласованных источников (например, открытой базы ФНС).","Инфобот Финансовой службе заказчика необходимо знать какие контрагенты (~1000) используют упрощенную систему налогообложения.
Проект предполагает автоматизацию сбора и обновления этих данных с помощью технологии роботизации на базе приложения UiPath. Скрипт должен извлекать контрагентов из системы 1С Предприятие, искать атрибут в открытой базе ФНС, и сохранять результат в таблицу Google Docs.
В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать финансовую службу.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта будет предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath, всеми специализированными приложениями, а также необходимые доступы в тестовые и (в дальнейшем) в продуктивные системы. Автоматическое извлечение и актуализация информации об атрибутах юридических лиц - контрагентов заказчика из согласованных источников (например, открытой базы ФНС)."
1,Фотообложки,"Небольшой проект предполагает ежевечернюю загрузку графических файлов для обложек на упаковки с продукцией, которые улучшат впечатления клиентов, облегчат поиск на складе, и помогут избежать ошибок при выдаче.
При помощи технологии роботизации на базе приложения UiPath скрипт должен находить файлы обложек новых заказов, формировать из них небольшие графические файлы, и загружать их во внутреннюю систему (в заказ для печати). В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать дежурные контакты.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта может быть предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath и, при необходимости, доступ в тестовые и (в дальнейшем) в продуктивные системы.",Конвертация в графический формат и загрузка этикеток для заказов во внутреннюю систему по расписанию.,"Фотообложки Небольшой проект предполагает ежевечернюю загрузку графических файлов для обложек на упаковки с продукцией, которые улучшат впечатления клиентов, облегчат поиск на складе, и помогут избежать ошибок при выдаче.
При помощи технологии роботизации на базе приложения UiPath скрипт должен находить файлы обложек новых заказов, формировать из них небольшие графические файлы, и загружать их во внутреннюю систему (в заказ для печати). В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать дежурные контакты.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта может быть предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath и, при необходимости, доступ в тестовые и (в дальнейшем) в продуктивные системы. Конвертация в графический формат и загрузка этикеток для заказов во внутреннюю систему по расписанию."
2,Fast Print,"Ежедневно поздно вечером партнер заказчика присылает графические файлы с заказами на печать, которые должны быть отправлены клиенту на следующий день. Для этого выделенный работник производит нормализацию файлов в специальном приложении, после чего оформляет заказ на печать во внутренней системе. Далее заказ уходит на производство и печатается автоматически.
Проект подразумевает полную автоматизацию данного участка с помощью технологии роботизации на базе приложения UiPath. Скрипт должен получать файлы по электронной почте, производить их нормализацию в приложении согласно спецификации, оформлять заказ на печать, отправлять краткий отчет о работе. В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать дежурного работника.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта будет предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath, всеми специализированными приложениями, а также необходимые доступы в тестовые и (в дальнейшем) в продуктивные системы.",Автоматизация ручного участка процесса оформления заказа на печать сборных тиражей,"Fast Print Ежедневно поздно вечером партнер заказчика присылает графические файлы с заказами на печать, которые должны быть отправлены клиенту на следующий день. Для этого выделенный работник производит нормализацию файлов в специальном приложении, после чего оформляет заказ на печать во внутренней системе. Далее заказ уходит на производство и печатается автоматически.
Проект подразумевает полную автоматизацию данного участка с помощью технологии роботизации на базе приложения UiPath. Скрипт должен получать файлы по электронной почте, производить их нормализацию в приложении согласно спецификации, оформлять заказ на печать, отправлять краткий отчет о работе. В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать дежурного работника.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта будет предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath, всеми специализированными приложениями, а также необходимые доступы в тестовые и (в дальнейшем) в продуктивные системы. Автоматизация ручного участка процесса оформления заказа на печать сборных тиражей"
3,Робот Валера,"Организация использует сложную внутреннюю систему планирования собственной разработки.
В настоящее время работник вручную осуществляет процесс вывода форм на печать из системы согласно ряду простых правил, приведенных в приложении. Сама отправка выглядит как копирование файлов на ftp сервер. Файлы для отправки выбираются по стандарту именования исходя из наличия, плановой даты, времени, и других критериев.
Проект предусматривает полную автоматизацию данного участка с использованием платформы для роботизации UiPath, на которой должен быть написан скрипт. Скрипт должен автоматически запускаться по согласованному графику, открывать необходимые приложения, выполнять проверки, производить отправку заданий на печать, отмечать отправленные задания и формировать краткий отчет о своей работе. В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать дежурного работника по электронной почте и мессенджеру.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта будет предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath, всеми специализированными приложениями, а также необходимые доступы в тестовые и (в дальнейшем) в продуктивные системы.",Автоматическая регулярная отправка печатных форм на вывод согласно очереди печати.,"Робот Валера Организация использует сложную внутреннюю систему планирования собственной разработки.
В настоящее время работник вручную осуществляет процесс вывода форм на печать из системы согласно ряду простых правил, приведенных в приложении. Сама отправка выглядит как копирование файлов на ftp сервер. Файлы для отправки выбираются по стандарту именования исходя из наличия, плановой даты, времени, и других критериев.
Проект предусматривает полную автоматизацию данного участка с использованием платформы для роботизации UiPath, на которой должен быть написан скрипт. Скрипт должен автоматически запускаться по согласованному графику, открывать необходимые приложения, выполнять проверки, производить отправку заданий на печать, отмечать отправленные задания и формировать краткий отчет о своей работе. В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать дежурного работника по электронной почте и мессенджеру.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта будет предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath, всеми специализированными приложениями, а также необходимые доступы в тестовые и (в дальнейшем) в продуктивные системы. Автоматическая регулярная отправка печатных форм на вывод согласно очереди печати."
4,Робот Вера,"Финансовая служба заказчика тратит значительные ресурсы на формирование и отправку актов сверок своим контрагентам, напоминания, и контроль получения ответов.
Проект предполагает автоматизацию формирования, отправки актов сверок взаиморасчетов, и контроль получения ответов с помощью технологии роботизации на базе приложения UiPath. Скрипт UiPath должен формировать акт сверки из системы 1С Предприятие, отправлять акт на адреса электронной почты контрагента, получать ответ, и вести реестр отправленных актов и полученных ответов в таблице Google Docs в виде: контрагент, акт отправлен (дата), ответ получен (дата). В случае, если ответ не получен в течение нескольких дней, должна производиться повторная отправка акта.
На первом этапе все ответы отправляются на ручную обработку финансовому специалисту. На втором этапе будет добавлена проверка согласован ли акт, и специалисту будут отправляться только несогласованные акты.
В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать финансовую службу.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта будет предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath, всеми специализированными приложениями, а также необходимые доступы в тестовые и (в дальнейшем) в продуктивные системы.","Регулярное формирование актов сверок по контрагентам заказчика, рассылка актов по электронной почте, и мониторинг ответов.","Робот Вера Финансовая служба заказчика тратит значительные ресурсы на формирование и отправку актов сверок своим контрагентам, напоминания, и контроль получения ответов.
Проект предполагает автоматизацию формирования, отправки актов сверок взаиморасчетов, и контроль получения ответов с помощью технологии роботизации на базе приложения UiPath. Скрипт UiPath должен формировать акт сверки из системы 1С Предприятие, отправлять акт на адреса электронной почты контрагента, получать ответ, и вести реестр отправленных актов и полученных ответов в таблице Google Docs в виде: контрагент, акт отправлен (дата), ответ получен (дата). В случае, если ответ не получен в течение нескольких дней, должна производиться повторная отправка акта.
На первом этапе все ответы отправляются на ручную обработку финансовому специалисту. На втором этапе будет добавлена проверка согласован ли акт, и специалисту будут отправляться только несогласованные акты.
В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать финансовую службу.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта будет предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath, всеми специализированными приложениями, а также необходимые доступы в тестовые и (в дальнейшем) в продуктивные системы. Регулярное формирование актов сверок по контрагентам заказчика, рассылка актов по электронной почте, и мониторинг ответов."
